weight,age,height,size
136.69,28,5.67,XL
130.07,36,5.50,L
134.48,34,5.42,M
143.30,27,5.75,L
136.69,45,5.67,M
110.23,27,5.25,S
116.84,65,5.25,M
112.44,33,5.25,XXS
119.05,26,5.50,M
116.84,32,5.42,S
138.89,30,5.58,XXXL
169.76,35,5.67,XXXL
141.10,26,5.42,L
114.64,28,5.25,M
143.30,33,5.42,L
138.89,30,5.50,L
119.05,21,5.50,XXS
138.89,27,5.67,M
138.89,30,5.50,M
119.05,20,5.50,S
121.25,32,5.08,S
121.25,37,5.25,M
121.25,50,5.42,S
110.23,43,5.25,M
163.14,29,5.83,XL
141.10,32,5.25,XL
127.87,29,5.50,XXS
119.05,47,5.42,M
127.87,31,5.08,XL
143.30,27,5.67,L
103.62,43,5.17,S
134.48,27,5.42,M
127.87,29,5.67,M
189.60,48,5.67,XXXL
149.91,36,5.33,XL
143.30,27,5.58,L
143.30,34,5.58,L
119.05,40,5.17,M
114.64,45,5.08,M
114.64,30,5.58,S
127.87,52,5.33,XXXL
171.96,37,5.75,XXXL
134.48,34,5.67,L
108.03,24,5.50,S
134.48,28,5.33,M
141.10,34,5.33,XXXL
138.89,25,5.50,S
123.46,32,5.17,M
110.23,27,5.58,S
169.76,29,5.67,XXXL
127.87,32,5.42,L
143.30,33,5.42,L
134.48,33,5.50,XL
123.46,36,5.75,M
178.57,27,5.42,XXXL
108.03,30,5.33,M
127.87,29,5.33,L
158.73,28,5.33,L
138.89,28,5.67,M
127.87,33,5.17,XL
143.30,29,5.42,XL
132.28,27,5.50,XL
149.91,28,5.50,L
154.32,32,5.75,XL
138.89,36,5.17,XL
127.87,36,5.42,S
174.16,49,5.50,XXXL
108.03,40,5.17,M
123.46,22,5.17,S
130.07,35,5.75,S
110.23,32,5.08,XXS
116.84,33,5.33,S
123.46,32,5.42,M
249.12,27,5.50,XXXL
194.01,30,5.33,XXXL
149.91,42,5.42,XL
163.14,53,5.17,XXXL
229.28,34,5.08,XXXL
127.87,33,5.33,S
134.48,30,5.67,M
134.48,69,5.08,XXXL
119.05,34,5.25,S
143.30,36,5.50,L
154.32,35,5.50,XXXL
119.05,31,5.33,M
114.64,31,5.67,XXS
138.89,33,5.50,L
154.32,23,4.83,XXXL
174.16,32,5.58,XXXL
108.03,17,5.50,S
125.66,37,5.17,M
209.44,43,5.67,XXXL
158.73,50,5.58,XXXL
127.87,24,5.58,M
163.14,31,5.58,XL
119.05,36,5.58,S
169.76,30,5.50,XL
138.89,53,5.50,M
218.26,44,5.67,XXXL
136.69,30,5.83,M
178.57,33,6.08,XXXL
123.46,32,5.33,L
121.25,26,5.58,S
134.48,30,5.58,XL
143.30,27,5.50,XL
134.48,31,5.58,M
143.30,33,5.50,L
127.87,29,5.33,L
158.73,44,5.75,XXXL
138.89,27,5.33,XL
143.30,47,5.58,L
138.89,31,5.75,M
176.37,41,5.58,XXXL
138.89,23,5.33,L
127.87,23,5.92,XL
156.53,23,5.58,XL
116.84,29,5.25,M
178.57,59,5.33,XXXL
182.98,30,5.33,XXXL
138.89,34,5.67,M
119.05,29,5.17,S
209.44,30,5.25,XXXL
123.46,28,5.42,M
134.48,33,5.42,S
163.14,31,5.17,XXXL
154.32,26,5.08,L
158.73,52,5.58,XXXL
136.69,29,5.33,L
130.07,39,5.25,L
114.64,27,5.17,XXS
198.42,59,5.33,XXXL
158.73,20,5.50,XXXL
138.89,30,5.42,XL
138.89,37,5.67,M
103.62,28,5.08,XXS
127.87,29,5.17,M
143.30,33,5.50,L
136.69,30,5.17,M
136.69,24,5.75,M
138.89,33,5.17,XL
149.91,42,5.50,XL
130.07,31,5.33,M
123.46,30,5.67,S
127.87,33,5.25,M
127.87,31,5.17,M
143.30,29,5.67,L
143.30,29,5.92,XL
149.91,29,5.33,XL
143.30,32,5.67,L
169.76,43,5.67,XXXL
116.84,28,5.17,XXS
127.87,36,5.75,M
119.05,37,5.00,M
116.84,42,5.50,S
119.05,41,5.33,S
145.50,41,5.58,L
114.64,42,5.42,S
116.84,32,5.58,S
127.87,53,5.25,L
123.46,33,5.33,M
123.46,33,5.58,L
123.46,52,5.33,M
138.89,31,5.67,XL
143.30,52,5.00,XXXL
127.87,38,5.50,L
138.89,39,5.75,XL
119.05,23,5.33,M
127.87,29,5.50,M
154.32,34,5.58,XL
127.87,30,5.50,M
101.41,28,5.00,XXS
127.87,28,5.17,S
174.16,51,5.33,XXXL
119.05,29,5.42,S
134.48,32,5.33,M
119.05,33,5.08,S
127.87,26,5.58,M
158.73,30,5.83,L
127.87,46,5.50,L
123.46,26,5.42,S
136.69,52,5.33,M
134.48,38,5.08,XXXL
138.89,32,5.67,M
134.48,31,5.33,M
141.10,41,5.33,L
110.23,30,5.08,XXS
119.05,34,5.33,M
123.46,23,5.75,S
134.48,31,5.75,S
114.64,39,5.50,XXS
143.30,30,5.75,M
143.30,38,5.25,L
110.23,52,5.25,L
116.84,28,5.00,S
149.91,46,5.33,XL
114.64,31,5.17,S
209.44,24,5.75,XXXL
143.30,34,5.83,XL
127.87,32,5.25,S
134.48,30,5.25,M
160.94,35,5.50,XXXL
130.07,36,5.33,M
163.14,46,5.50,XXXL
198.42,31,5.42,XXXL
154.32,45,5.17,XXXL
143.30,53,5.33,XL
116.84,32,5.42,S
127.87,33,5.25,L
108.03,34,5.25,XXS
110.23,28,5.42,S
116.84,43,5.50,M
119.05,27,5.42,M
169.76,36,5.50,XXXL
119.05,27,5.17,M
143.30,50,5.67,XXXL
143.30,26,5.67,L
149.91,37,5.58,XL
171.96,29,5.50,XXXL
127.87,24,5.92,XXS
127.87,31,5.17,L
149.91,30,5.58,XXXL
154.32,46,5.42,XXXL
143.30,26,5.75,L
105.82,40,5.00,XXS
119.05,27,5.17,S
121.25,27,5.58,M
121.25,41,5.17,L
134.48,47,5.25,XL
134.48,30,5.67,M
143.30,31,5.75,M
132.28,28,5.58,M
127.87,35,5.50,XL
149.91,30,5.33,M
246.92,38,5.75,XXXL
134.48,45,5.33,XL
119.05,34,5.42,S
127.87,45,5.67,M
149.91,30,5.50,XL
127.87,31,5.33,M
127.87,30,5.58,S
174.16,27,5.83,L
123.46,38,5.58,S
108.03,39,5.17,S
152.12,40,5.75,XXXL
134.48,43,5.50,M
152.12,31,5.67,XL
158.73,36,5.75,XL
134.48,37,5.25,L
119.05,23,5.50,XXS
132.28,35,5.58,XL
110.23,48,5.33,XXS
145.50,49,5.33,L
127.87,50,5.33,L
134.48,33,5.33,L
114.64,29,5.50,XXS
141.10,34,5.75,L
119.05,51,5.50,S
114.64,22,5.08,S
149.91,49,5.92,XL
123.46,32,5.50,S
154.32,34,5.25,XL
121.25,38,5.33,S
154.32,24,5.33,XXXL
169.76,28,5.25,XXXL
123.46,39,5.50,M
158.73,40,5.75,XL
182.98,50,5.42,XXXL
149.91,29,5.25,XL
123.46,42,5.42,M
130.07,37,5.08,XL
169.76,31,5.75,XXXL
174.16,30,5.83,XXXL
169.76,34,5.33,L
119.05,34,5.42,S
134.48,33,5.83,M
138.89,33,5.42,XL
134.48,32,5.17,M
101.41,31,5.00,XXS
178.57,30,5.58,XXXL
127.87,35,5.33,M
114.64,30,5.42,S
134.48,26,5.58,M
116.84,37,5.58,XL
134.48,51,5.50,L
119.05,32,5.42,S
127.87,33,5.50,S
143.30,28,5.42,L
178.57,39,5.92,XXXL
119.05,30,5.42,XXS
163.14,36,5.58,XXXL
123.46,32,5.42,L
114.64,28,5.50,XXS
123.46,34,5.92,M
178.57,33,5.33,XXXL
138.89,29,5.58,M
119.05,32,5.25,L
134.48,34,5.33,L
134.48,34,5.42,L
143.30,37,5.25,L
110.23,32,5.33,XXS
127.87,35,5.58,S
127.87,34,5.75,S
114.64,47,5.25,M
127.87,53,5.25,M
198.42,40,5.58,XXXL
154.32,23,5.92,M
143.30,29,5.33,XL
121.25,26,5.33,S
127.87,25,5.50,XL
154.32,36,5.75,S
114.64,40,5.67,XXS
127.87,27,5.33,M
149.91,41,5.33,XXXL
125.66,28,5.42,S
143.30,36,5.42,XXXL
119.05,25,5.00,M
127.87,38,5.67,M
138.89,29,5.33,L
169.76,34,5.50,XXXL
143.30,29,5.58,XL
136.69,41,5.67,L
127.87,43,5.33,M
169.76,31,5.67,XXXL
143.30,40,5.83,XL
149.91,28,5.75,M
141.10,32,5.75,XL
114.64,34,5.50,S
127.87,40,5.58,M
134.48,32,5.67,M
138.89,38,5.67,M
149.91,28,5.50,XL
123.46,34,5.25,M
114.64,24,5.92,XXS
134.48,32,5.75,S
158.73,20,5.42,M
116.84,38,5.25,S
158.73,32,5.33,XL
138.89,30,5.67,M
123.46,45,5.42,L
143.30,25,5.00,XL
119.05,43,5.25,S
114.64,28,5.25,XXS
178.57,36,5.33,XXXL
185.19,31,5.42,XXXL
134.48,46,5.83,M
99.21,30,5.33,XXS
134.48,45,5.33,XL
119.05,36,5.17,M
125.66,44,5.17,M
123.46,48,5.42,M
127.87,43,5.58,S
114.64,28,5.33,S
123.46,30,5.42,S
114.64,29,5.08,S
114.64,35,5.25,S
127.87,32,5.75,M
127.87,29,5.00,M
174.16,30,5.33,XXXL
154.32,44,5.58,XXXL
123.46,41,5.33,S
121.25,34,5.08,M
138.89,27,5.58,M
127.87,27,5.17,M
121.25,29,5.33,S
158.73,35,5.42,XXXL
154.32,31,5.50,XL
114.64,40,5.17,S
127.87,32,5.25,L
127.87,29,5.25,M
119.05,31,5.33,XXS
121.25,26,5.33,S
149.91,31,5.50,XL
116.84,21,5.17,L
116.84,30,5.25,S
127.87,53,5.58,L
134.48,26,5.25,M
138.89,34,5.58,L
158.73,45,5.58,XXXL
136.69,54,5.50,L
143.30,37,5.67,XXXL
119.05,35,5.17,M
119.05,28,5.17,XXS
134.48,29,5.42,M
134.48,27,5.33,L
154.32,36,5.67,L
143.30,25,4.67,L
178.57,25,5.67,XXXL
143.30,39,5.50,L
143.30,24,5.50,L
116.84,49,5.33,XXS
101.41,59,5.17,XXS
119.05,32,5.58,XXS
123.46,43,5.67,M
149.91,30,5.00,XXXL
149.91,30,5.42,M
134.48,34,5.33,L
134.48,23,5.67,XL
134.48,39,5.58,L
134.48,25,5.42,S
158.73,33,5.67,XXXL
119.05,39,5.17,M
149.91,33,6.00,M
141.10,,5.67,M
119.05,27,5.42,S
138.89,35,5.50,L
149.91,29,5.25,XL
127.87,47,5.08,M
127.87,34,5.42,M
134.48,35,5.58,S
154.32,42,5.25,XL
127.87,25,5.75,S
169.76,39,5.75,XXXL
160.94,38,5.83,XXXL
143.30,33,5.50,XL
127.87,34,5.33,S
127.87,28,5.00,L
143.30,24,5.58,L
143.30,50,5.33,XL
213.85,43,5.33,XXXL
121.25,28,5.17,S
119.05,48,5.33,M
143.30,29,5.67,L
123.46,62,5.33,M
110.23,29,5.00,S
138.89,49,5.58,L
138.89,35,5.83,M
149.91,40,5.75,XXXL
116.84,58,5.67,M
116.84,32,5.08,M
149.91,29,5.67,L
143.30,40,5.58,L
123.46,36,5.50,M
116.84,33,5.08,S
127.87,28,5.17,M
143.30,38,5.92,L
121.25,35,5.50,S
114.64,35,5.50,XXS
163.14,42,5.50,XXXL
119.05,31,5.42,S
136.69,38,5.67,XL
114.64,30,5.50,XXS
174.16,51,5.50,XXXL
165.35,38,6.00,XXXL
143.30,34,5.58,M
143.30,36,5.17,XXXL
127.87,39,5.50,XL
149.91,34,5.50,XL
154.32,28,5.83,L
154.32,37,5.50,XXXL
99.21,25,5.17,XXS
143.30,25,5.50,XL
189.60,53,5.25,XXXL
110.23,43,5.00,M
127.87,49,5.17,L
116.84,29,5.50,S
94.80,44,5.17,S
127.87,32,5.33,M
119.05,27,5.67,S
158.73,30,5.17,XXXL
114.64,28,5.08,M
